ds,yhat,yhat_lower,yhat_upper,actual
2005-01-03,14054.289432768877,9581.229334799817,18384.217434482252,14056.0
2005-01-10,15963.023786240019,11544.002575915549,20519.523984868472,18809.0
2005-01-17,18619.31201783743,14585.351968033905,23328.041236959947,19268.0
2005-01-24,20222.871537087998,15753.885543989012,24645.543389317576,18927.0
2005-01-31,20203.406621587448,15951.88038119693,24674.463107722684,15291.0
2005-02-07,19502.833055597443,14829.27665036273,24429.963097452663,17491.0
2005-02-14,19482.691200478996,14721.665962476955,24252.811511199536,16382.0
2005-02-21,20651.16078754314,16206.718742500982,25088.172205521318,17903.0
2005-02-28,22423.729481475202,17800.350906987474,26967.622759635025,16986.0
2005-03-07,23918.9540655467,19523.213910907212,28374.9892320385,17711.0
2005-03-14,24776.24110867828,20383.03749024602,29417.320769525966,25659.0
2005-03-21,25206.99019415026,20727.01135704767,29566.35269666525,24206.0
2005-03-28,25490.074932520656,20762.989474026486,30204.764371917605,21106.0
2005-04-04,25650.076467983217,21265.082848990914,29965.072853887974,27886.0
2005-04-11,25618.71008186697,20845.2000578087,29931.777137949863,26955.0
2005-04-18,25496.108825855572,20948.228496753254,29983.20236848428,27264.0
2005-04-25,25485.728362637507,20946.850016028187,30172.967651532927,26931.0
2005-05-02,25616.189463782048,20601.521527431203,30545.657508271976,22232.0
2005-05-09,25682.451543048363,20844.069288891547,30288.093802410393,24751.0
2005-05-16,25516.379938228438,20578.052312134332,30255.70452788641,21820.0
2005-05-23,25219.31545372689,20804.33449941813,29967.373722739158,25530.0
2005-05-30,25034.81155547421,20461.27454606096,29830.19995179026,28160.0
2005-06-06,25041.754695771255,20459.932117152017,29345.227174535536,27870.0
2005-06-13,25101.350132395175,20488.098376234546,29530.18439727599,27137.0
2005-06-20,25131.652844436536,20467.96236390811,29244.61090823587,24812.0
2005-06-27,25300.258755690465,20960.548630399535,30026.390027228088,25056.0
2005-07-04,25805.97088483078,21507.756956281963,29963.503982429826,28439.0
2005-07-11,26496.551895754998,21953.52214519116,30948.82434961744,27095.0
2005-07-18,26869.401468914053,22396.329747716598,31073.762009816037,28830.0
2005-07-25,26567.772608959935,22116.963663222028,31040.33047634508,26421.0
2005-08-01,25826.775349112675,21604.309754529648,30355.916424835523,26634.0
