VJAVKW_DT,VJAVKW,TTOKM
2005-01-03,200501,14056.0
2005-01-10,200502,18809.0
2005-01-17,200503,19268.0
2005-01-24,200504,18927.0
2005-01-31,200505,15291.0
2005-02-07,200506,17491.0
2005-02-14,200507,16382.0
2005-02-21,200508,17903.0
2005-02-28,200509,16986.0
2005-03-07,200510,17711.0
2005-03-14,200511,25659.0
2005-03-21,200512,24206.0
2005-03-28,200513,21106.0
2005-04-04,200514,27886.0
2005-04-11,200515,26955.0
2005-04-18,200516,27264.0
2005-04-25,200517,26931.0
2005-05-02,200518,22232.0
2005-05-09,200519,24751.0
2005-05-16,200520,21820.0
2005-05-23,200521,25530.0
2005-05-30,200522,28160.0
2005-06-06,200523,27870.0
2005-06-13,200524,27137.0
2005-06-20,200525,24812.0
2005-06-27,200526,25056.0
2005-07-04,200527,28439.0
2005-07-11,200528,27095.0
2005-07-18,200529,28830.0
2005-07-25,200530,26421.0
2005-08-01,200531,26634.0
2005-08-08,200532,30052.0
2005-08-15,200533,25374.0
2005-08-22,200534,24463.0
2005-08-29,200535,26894.0
2005-09-05,200536,26492.0
2005-09-12,200537,26264.0
2005-09-19,200538,26585.0
2005-09-26,200539,26966.0
2005-10-03,200540,30576.0
2005-10-10,200541,27268.0
2005-10-17,200542,27898.0
2005-10-24,200543,24206.0
2005-10-31,200544,25063.0
2005-11-07,200545,28348.0
2005-11-14,200546,25707.0
2005-11-21,200547,22817.0
2005-11-28,200548,20227.0
2005-12-05,200549,20169.0
2005-12-12,200550,19865.0
2005-12-19,200551,17456.0
2005-12-26,200552,12514.0
2006-01-02,200553,171.0
2006-01-02,200601,14370.0
2006-01-09,200602,18411.0
2006-01-16,200603,15907.0
2006-01-23,200604,14727.0
2006-01-30,200605,16580.0
2006-02-06,200606,17116.0
2006-02-13,200607,16619.0
2006-02-20,200608,16335.0
2006-02-27,200609,19255.0
2006-03-06,200610,18516.0
2006-03-13,200611,25359.0
2006-03-20,200612,24226.0
2006-03-27,200613,25555.0
2006-04-03,200614,24922.0
2006-04-10,200615,24862.0
2006-04-17,200616,25224.0
2006-04-24,200617,24920.0
2006-05-01,200618,20911.0
2006-05-08,200619,23123.0
2006-05-15,200620,25282.0
2006-05-22,200621,22871.0
2006-05-29,200622,28669.0
2006-06-05,200623,25090.0
2006-06-12,200624,24024.0
2006-06-19,200625,26623.0
2006-06-26,200626,26412.0
2006-07-03,200627,23966.0
2006-07-10,200628,27291.0
2006-07-17,200629,26941.0
2006-07-24,200630,27663.0
2006-07-31,200631,28769.0
2006-08-07,200632,25784.0
2006-08-14,200633,23352.0
2006-08-21,200634,25490.0
2006-08-28,200635,24788.0
2006-09-04,200636,25830.0
2006-09-11,200637,25670.0
2006-09-18,200638,27780.0
