,yhat
2023-01-02,14062.292127256764
2023-01-09,13380.20945523557
2023-01-16,14139.170011893855
2023-01-23,15021.66909812886
2023-01-30,14998.19670320367
2023-02-06,14485.442202370134
2023-02-13,15164.070147440656
2023-02-20,13962.54542394693
2023-02-27,13292.31348506835
2023-03-06,14920.946431340588
2023-03-13,12863.09535505958
2023-03-20,13470.175497919072
2023-03-27,13392.388854529605
2023-04-03,12788.713624947524
2023-04-10,12060.708450707622
2023-04-17,10853.695825493438
2023-04-24,13112.560199117936
2023-05-01,13673.241683988497
2023-05-08,12012.129690272468
2023-05-15,12201.952665901317
2023-05-22,12492.27716996567
2023-05-29,11962.074182208713
2023-06-05,12598.91445752611
2023-06-12,12272.840999320453
2023-06-19,12560.983049978004
2023-06-26,11619.460851629114
2023-07-03,11972.99926661532
2023-07-10,11105.281489246057
2023-07-17,11949.991874150712
2023-07-24,11233.658983496243
2023-07-31,12231.028329444192
2023-08-07,11052.502915674148
2023-08-14,11316.61791657194
2023-08-21,12557.175573091827
2023-08-28,12547.28018850167
2023-09-04,13669.368056881063
2023-09-11,12682.770905251748
2023-09-18,11817.55581984541
2023-09-25,13232.852788854143
2023-10-02,14181.67898834397
2023-10-09,13652.09879993421
2023-10-16,13928.602675350678
2023-10-23,12906.698742239258
2023-10-30,13855.607099383746
2023-11-06,13290.015142510681
2023-11-13,14081.542004297378
2023-11-20,12736.128079477934
2023-11-27,11744.142517430226
2023-12-04,12128.80965004328
2023-12-11,10791.742429705499
2023-12-18,8639.006238389442
2023-12-25,9524.65007925987
2024-01-01,13964.588005496658
2024-01-08,13282.505333475467
2024-01-15,14041.465890133752
2024-01-22,14923.964976368756
2024-01-29,14900.492581443566
2024-02-05,14387.73808061003
2024-02-12,15066.366025680552
2024-02-19,13864.841302186825
2024-02-26,13194.609363308242
2024-03-04,14823.242309580484
2024-03-11,12765.391233299477
2024-03-18,13372.471376158966
2024-03-25,13294.684732769501
2024-04-01,12691.00950318742
2024-04-08,11963.004328947518
2024-04-15,10755.991703733333
2024-04-22,13014.856077357832
2024-04-29,13575.537562228394
2024-05-06,11914.425568512363
2024-05-13,12104.248544141214
2024-05-20,12394.573048205566
2024-05-27,11864.37006044861
2024-06-03,12501.210335766005
2024-06-10,12175.13687756035
2024-06-17,12463.2789282179
2024-06-24,11521.756729869008
2024-07-01,11875.295144855214
2024-07-08,11007.577367485954
2024-07-15,11852.287752390608
2024-07-22,11135.954861736138
2024-07-29,12133.324207684089
2024-08-05,10954.798793914044
2024-08-12,11218.913794811837
2024-08-19,12459.471451331721
2024-08-26,12449.576066741567
2024-09-02,13571.66393512096
2024-09-09,12585.066783491642
2024-09-16,11719.851698085304
2024-09-23,13135.14866709404
2024-09-30,14083.974866583867
2024-10-07,13554.394678174105
2024-10-14,13830.898553590574
2024-10-21,12808.994620479154
2024-10-28,13757.902977623642
2024-11-04,13192.311020750576
2024-11-11,13983.837882537275
2024-11-18,12638.42395771783
2024-11-25,11646.43839567012
2024-12-02,12031.105528283177
2024-12-09,10694.038307945395
2024-12-16,8541.302116629338
2024-12-23,9426.945957499765
