ds,yhat,yhat_lower,yhat_upper,actual
2005-01-03,11700.00291103223,8384.233954454015,15222.137762097485,13379.0
2005-01-10,13499.838106323903,10036.14178792349,16863.46037840479,14918.0
2005-01-17,15658.380071025924,12235.464208638678,19109.36773596997,16288.0
2005-01-24,16754.00630082336,13069.782048757907,20078.968822809038,14153.0
2005-01-31,16509.376214229098,13161.573344254984,19932.943869206978,13901.0
2005-02-07,15832.399108446747,12480.285079541578,19139.01635880861,14154.0
2005-02-14,15701.298887721767,12322.609446992657,19131.720769267158,15285.0
2005-02-21,16175.55108134438,12983.00061184225,19366.887678806477,13761.0
2005-02-28,16552.6148562824,13528.060264248315,20262.747351036258,16430.0
2005-03-07,16329.429756497186,12794.708234623937,19702.429196626963,12539.0
2005-03-14,15777.65117986731,12419.726525241747,19168.79707948395,14880.0
2005-03-21,15523.634621875599,12108.362526833402,19194.40533757827,15576.0
2005-03-28,15744.878597473977,12384.660546529814,19033.29871375272,14144.0
2005-04-04,15982.822926067938,12358.22933507402,19247.505902959816,15507.0
2005-04-11,15747.565432179963,12159.59089160014,18967.82592513213,15364.0
2005-04-18,15129.6562244874,11703.724986148549,18782.570347689372,15267.0
2005-04-25,14686.158310591818,11099.38748070362,18203.461681397806,13968.0
2005-05-02,14784.974173205937,11278.617675594987,18233.102572501295,12471.0
2005-05-09,15211.093476910033,11824.138580304778,18561.322759859395,14993.0
2005-05-16,15456.414278776027,11784.866895077519,19045.80504144582,13975.0
2005-05-23,15283.59422512849,11745.226001455132,18691.296982130658,13229.0
2005-05-30,14901.70873030392,11609.365551645951,18138.11999815434,13054.0
2005-06-06,14639.67829467704,11099.019566547759,18022.601450299353,14034.0
2005-06-13,14591.7683224228,11217.424941955163,17989.73021998969,14443.0
2005-06-20,14632.473704625882,11382.031433784163,17958.577300251865,14877.0
2005-06-27,14662.213655327578,11028.178833815977,18126.22707415434,15316.0
2005-07-04,14696.27297338292,11301.787291414657,18154.18562265408,13660.0
2005-07-11,14719.937529488221,11162.145887199795,18230.862345680904,14287.0
2005-07-18,14602.687014408999,10948.609106815762,18116.456854814558,13368.0
2005-07-25,14262.48742921939,10865.069929712045,17668.207458561326,14381.0
2005-08-01,13864.266185042883,10358.607365725771,17225.48147403514,12734.0
2005-08-08,13728.611020821923,10280.363423218527,17028.04772056964,13546.0
2005-08-15,14000.893592499748,10735.882904516184,17610.07165008281,12107.0
2005-08-22,14482.424089298052,10978.571797494746,17828.792488040275,13737.0
2005-08-29,14851.237673103917,11338.843045289477,18089.263416001584,13830.0
2005-09-05,15005.106650659054,11398.03045026097,18389.289743137062,16072.0
2005-09-12,15101.45583940977,11755.224126758401,18381.941901093818,13574.0
2005-09-19,15271.755757755855,11906.094972381245,18603.21240756179,14518.0
2005-09-26,15418.761788721433,11971.23941933112,18959.15632660997,14491.0
2005-10-03,15378.24937088437,11744.82955544311,18768.785542627247,13366.0
2005-10-10,15206.854176276322,11628.468640765423,18567.33127531446,14242.0
2005-10-17,15160.8696528055,11985.0248710599,18680.47943611743,14541.0
2005-10-24,15355.810890400504,11820.641883721468,18765.77259605904,13120.0
2005-10-31,15578.593688113637,12272.884881656595,18994.160057772646,11622.0
2005-11-07,15565.774195165006,12173.220084378365,19124.615107126338,13081.0
2005-11-14,15409.446907932039,11871.164910092717,19056.49799797756,13812.0
2005-11-21,15485.457926465137,11679.549505603123,19023.219129065168,13272.0
2005-11-28,15875.249605254561,12530.674870638199,19194.22007700328,13792.0
2005-12-05,16006.100143020516,12688.948052369382,19508.023768600735,14148.0
2005-12-12,15132.048812044392,11541.06529872325,18199.76820302371,15486.0
2005-12-19,13282.845920069809,9923.37188329831,16697.52828452587,13396.0
2005-12-26,11582.134424528544,8108.743952619346,14770.900966136163,10499.0
2006-01-02,11376.805868351266,7754.140641845058,14793.4727224792,11519.0
2006-01-09,12947.784232916803,9171.948299821906,16284.958935269326,15222.0
2006-01-16,15163.818957283787,11660.778514600457,18766.72585123656,15898.0
2006-01-23,16512.00179445214,12888.812626621959,19993.986354949844,14705.0
2006-01-30,16463.61010991068,13006.633448930073,20146.426187958536,14702.0
2006-02-06,15776.355063404968,12374.000800656637,19304.764835633272,15525.0
2006-02-13,15511.530935372428,12104.676666131776,19002.124672404927,17157.0
2006-02-20,15918.242093331071,12729.749401043306,19270.05810486625,16361.0
2006-02-27,16368.202301405463,12846.319752422094,19580.05386775576,16534.0
2006-03-06,16254.489073350107,12668.35691931859,19901.84959458077,15765.0
2006-03-13,15714.267386621425,12432.675349454841,19320.28100802357,15554.0
2006-03-20,15373.17166222761,11809.691374368005,18952.348700717972,15226.0
2006-03-27,15529.599050048992,12154.056043034654,18837.976661138597,15741.0
2006-04-03,15810.3610127918,12342.795399389537,19069.896064698325,14695.0
2006-04-10,15673.145312138147,12326.562262812733,19037.189982724252,17050.0
2006-04-17,15088.685364641648,11724.21111715549,18491.66407135685,14485.0
2006-04-24,14572.782939911085,10918.921021945995,17937.58843892566,15233.0
2006-05-01,14573.81322671265,11186.66061922895,18061.99033590585,12895.0
2006-05-08,14978.182479068531,11383.66904268251,18553.31531648382,14053.0
2006-05-15,15286.802128419695,11919.353423552977,18789.16528091595,15826.0
2006-05-22,15183.912728551655,11717.400415712184,18481.848245508656,13817.0
2006-05-29,14812.580487588011,11273.0505350424,18387.682324211128,16591.0
2006-06-05,14513.243663260493,10727.742217953111,18041.68865827291,14729.0
2006-06-12,14432.985933285545,10723.637994858209,17865.438351238423,13855.0
2006-06-19,14468.807008839938,10840.373406079687,17629.683666303077,14701.0
2006-06-26,14501.592984078829,11236.00885822334,18261.20203429942,15316.0
2006-07-03,14532.664284479346,10943.471135305408,17841.871866051308,15796.0
2006-07-10,14565.244670287748,11127.646099886942,17972.507993756586,16107.0
2006-07-17,14484.057891714952,11275.297173820038,17878.322245943724,15216.0
2006-07-24,14179.656516631596,10599.5439659164,17610.995056232387,15212.0
2006-07-31,13768.905881813485,10213.998469969269,17181.758432214945,15474.0
2006-08-07,13566.336152109734,10144.043476471648,17128.131379051643,13988.0
2006-08-14,13771.23549749412,10452.487178175143,17192.940830855798,12656.0
2006-08-21,14240.594388877713,10820.120726922805,17488.714735222013,14418.0
2006-08-28,14646.40768805514,11229.280215112592,18077.534466164954,15908.0
2006-09-04,14831.901532331794,11344.95475263648,18320.450414125673,16325.0
2006-09-11,14923.690079286502,11353.284527082418,18288.92320510951,16621.0
2006-09-18,15081.355771334558,11710.431427266647,18551.45873559742,16462.0
2006-09-25,15247.025358816538,11738.422104706706,18922.8057072611,15749.0
2006-10-02,15244.52157873978,11782.81743624323,18742.922013448162,16312.0
2006-10-09,15079.879025372233,11800.471404342354,18650.348764731647,16386.0
2006-10-16,14994.123124602798,11540.077564509995,18606.314699433973,15787.0
2006-10-23,15153.260477721835,11666.19838442695,18401.98632182011,15568.0
2006-10-30,15395.351247161356,11508.395588459573,18703.69709756599,15499.0
2006-11-06,15431.085125667461,12065.157807546455,18988.1126273306,17779.0
2006-11-13,15274.997556384984,11638.966418815458,18850.13611778711,16932.0
2006-11-20,15286.585445632678,11787.532462863799,18595.018193935713,17157.0
2006-11-27,15644.540624192507,12538.762010553133,19018.196860221793,17840.0
2006-12-04,15883.809930175616,12782.424384289,19322.39019866267,18887.0
2006-12-11,15220.131045071925,11675.776317566857,18596.462155223373,18408.0
2006-12-18,13489.101639984774,10192.611167198169,16792.877441849236,15779.0
2006-12-25,11651.16197537298,8110.435387018331,15046.87154512577,11286.0
2007-01-01,11114.453801389625,7734.09385622782,14721.53541632359,14491.0
2007-01-08,12417.420462740993,9146.978841145827,15573.504799300012,17663.0
2007-01-15,14638.609351118794,11249.37162677515,18142.663370422084,16643.0
2007-01-22,16221.622924265386,12525.25066135248,19704.944110353154,17305.0
2007-01-29,16396.64482459252,12799.891431023925,19597.789515058314,16736.0
2007-02-05,15736.316581878327,12528.78207201618,19348.21827571366,17066.0
2007-02-12,15345.83384887893,11645.68463438037,18775.241486492192,17446.0
2007-02-19,15662.17230870724,12215.613025470426,18924.135844509103,17147.0
2007-02-26,16163.48303965398,12829.91583148561,19857.224363387362,15584.0
2007-03-05,16164.459293409054,12997.642721760989,19815.165572185102,17306.0
2007-03-12,15658.282651939373,12335.14405357199,19025.70247708066,17179.0
2007-03-19,15240.662204951494,11690.924831919217,18525.275933815552,17012.0
2007-03-26,15318.790546449643,11724.78164323605,18804.397163456957,15655.0
2007-04-02,15622.970309391227,12156.545987475482,18738.690234534544,14736.0
2007-04-09,15582.789714829712,12237.5608510448,18942.862898989206,14234.0
2007-04-16,15050.130342375933,11433.392921660155,18626.295443823583,18360.0
2007-04-23,14477.624126415429,11207.39186609367,17806.579033871858,15954.0
2007-04-30,14376.666374663175,11090.739012143717,17748.786495088596,15900.0
2007-05-07,14741.614263555464,11447.873584433448,18327.113637621187,16823.0
2007-05-14,15102.659081014182,11877.692134855162,18842.125422575995,15168.0
2007-05-21,15075.117176897493,11373.608966089418,18464.269191930187,16661.0
2007-05-28,14726.396196235899,11291.645887990036,18025.36616157482,14309.0
2007-06-04,14394.5612396916,10812.712219125395,17689.91128451726,15667.0
2007-06-11,14277.895409579287,10803.050948810338,17632.11436570413,15201.0
2007-06-18,14304.616661281467,10645.682773480323,17866.441438137623,15088.0
2007-06-25,14340.912937495486,10998.741779365626,17720.73429216942,15669.0
2007-07-02,14369.521168991458,10857.829105417855,17948.749420856486,15012.0
2007-07-09,14406.95656673006,10965.19616995743,17890.956597791614,16091.0
2007-07-16,14357.621684924192,10795.628540198879,17710.30337492753,15654.0
2007-07-23,14092.79951251519,10716.268396108375,17581.24465989234,15189.0
2007-07-30,13680.514351257181,10169.894507924728,17249.969034654412,14872.0
2007-08-06,13418.10062305762,9836.828991453682,16646.83364400134,15183.0
2007-08-13,13550.572764095847,10270.405931013598,16927.97620028135,12268.0
2007-08-20,13996.191635060539,10611.516597161533,17324.046585306663,14803.0
2007-08-27,14433.665070433086,11105.523552057106,18117.979963992686,14377.0
2007-09-03,14655.62428738873,11416.73728631345,18123.35011802142,16396.0
2007-09-10,14748.739362147206,11238.46861277346,17794.622423058165,16222.0
2007-09-17,14891.60610624992,11614.97151781974,18520.33465231749,15444.0
2007-09-24,15069.34947865952,11521.254744475287,18367.087740775285,16465.0
2007-10-01,15104.856456728428,11790.25230497325,18471.361883497277,15162.0
2007-10-08,14955.632332950849,11512.326689309213,18386.751008598552,16968.0
2007-10-15,14836.22789759227,11291.070014964887,18225.940350860452,17282.0
2007-10-22,14953.791376790301,11435.75249473469,18578.0335401449,16311.0
2007-10-29,15204.58414890266,11706.935775461197,18381.274464667167,14521.0
2007-11-05,15289.141229084562,11720.638385415907,18627.79036409012,18502.0
2007-11-12,15146.372309223441,11553.964509133473,18761.064257119444,15874.0
2007-11-19,15100.743351166971,11733.610780299045,18521.111311117234,16361.0
2007-11-26,15411.135406917909,11882.419593403649,18739.93331976417,14871.0
2007-12-03,15730.957259450326,12040.883088721106,19089.7908791592,14543.0
2007-12-10,15270.78025121072,11906.89074958222,18633.99567909013,16548.0
2007-12-17,13690.502704756098,10082.762621194894,17114.20537652161,15203.0
2007-12-24,11764.190834691573,8288.700156586832,15091.323604091058,10540.0
2008-01-07,11918.18666089965,8295.349311486836,15288.525890588538,16524.0
2008-01-14,14090.630290274848,10875.734189426475,17595.370473705836,17388.0
2008-01-21,15882.28719959236,12352.893343715248,19114.67433042341,15865.0
2008-01-28,16301.473464821907,12954.9164580823,19850.374634898915,16365.0
2008-02-04,15706.941473499524,12348.457218567075,19420.62853950808,16333.0
2008-02-11,15205.542242380834,11691.502723949388,18507.202519046994,15889.0
2008-02-18,15412.372947305503,11943.033971047604,19037.466851483874,16025.0
2008-02-25,15940.607690252426,12603.107624266675,19434.462658278317,17171.0
2008-03-03,16056.342138989463,12656.46125023751,19535.85397771087,16706.0
2008-03-10,15605.672335747251,12019.022728770089,19253.440744969677,16975.0
2008-03-17,15125.997113840273,11667.883452489452,18723.375688995253,14846.0
2008-03-24,15116.02732968063,11289.39164974483,18698.359823860006,15650.0
2008-03-31,15423.191947054755,12050.423566263617,19082.828374452656,15260.0
2008-04-07,15474.79108781965,12163.574030144086,19287.04611347917,17252.0
2008-04-14,15010.052333871155,11781.035849635582,18780.827650436513,15396.0
2008-04-21,14399.005149745059,10756.050110320115,18016.583329217887,15498.0
2008-04-28,14195.674916160468,10757.302903630827,17398.47934560456,15769.0
2008-05-05,14504.510947834977,10883.777367283765,18018.957144044933,13988.0
2008-05-12,14904.616298178677,11161.364682085628,18283.394451674863,15761.0
