,yhat
2023-01-02,64957.79878976799
2023-01-09,74403.71071839995
2023-01-16,70983.23335797281
2023-01-23,71412.77893190009
2023-01-30,64662.399984496835
2023-02-06,67275.11195180212
2023-02-13,66473.53526993093
2023-02-20,64704.10555584852
2023-02-27,62783.03921313455
2023-03-06,64962.254785141304
2023-03-13,59522.71930400738
2023-03-20,56902.36667594759
2023-03-27,58022.90045134821
2023-04-03,57807.11263623828
2023-04-10,54983.90340327865
2023-04-17,54402.92238627285
2023-04-24,62302.32226140997
2023-05-01,61699.42271863038
2023-05-08,62314.00893742375
2023-05-15,62298.70654404728
2023-05-22,60918.37003151571
2023-05-29,62902.85103746822
2023-06-05,59376.79906842314
2023-06-12,56895.79493014704
2023-06-19,61717.435088823986
2023-06-26,60410.40425183166
2023-07-03,58426.81611745992
2023-07-10,61110.957448662186
2023-07-17,59088.03995925784
2023-07-24,56377.802916308196
2023-07-31,55776.51476057713
2023-08-07,59072.9099814877
2023-08-14,60442.797932713234
2023-08-21,60250.433124144925
2023-08-28,58823.20916517168
2023-09-04,57837.34528679897
2023-09-11,63531.86559633232
2023-09-18,62152.7670996249
2023-09-25,64325.74011843597
2023-10-02,61790.54225961721
2023-10-09,65687.41669543023
2023-10-16,62281.563695230776
2023-10-23,56765.521672694646
2023-10-30,57901.38800683758
2023-11-06,66490.82632067315
2023-11-13,62554.31480080893
2023-11-20,62602.09745169797
2023-11-27,59598.06975606373
2023-12-04,58319.83691336802
2023-12-11,48400.99927645236
2023-12-18,43530.42378526038
2023-12-25,33087.534678720534
2024-01-01,65154.131567588476
2024-01-08,74600.04349622043
2024-01-15,71179.56613579328
2024-01-22,71609.11170972057
2024-01-29,64858.73276231732
2024-02-05,67471.4447296226
2024-02-12,66669.8680477514
2024-02-19,64900.43833366901
2024-02-26,62979.37199095504
2024-03-04,65158.587562961795
2024-03-11,59719.052081827875
2024-03-18,57098.69945376807
2024-03-25,58219.23322916869
2024-04-01,58003.44541405876
2024-04-08,55180.236181099135
2024-04-15,54599.25516409333
2024-04-22,62498.655039230456
2024-04-29,61895.75549645087
2024-05-06,62510.341715244234
2024-05-13,62495.039321867764
2024-05-20,61114.702809336195
2024-05-27,63099.18381528871
2024-06-03,59573.131846243625
2024-06-10,57092.12770796753
2024-06-17,61913.76786664447
2024-06-24,60606.73702965214
2024-07-01,58623.14889528041
2024-07-08,61307.29022648267
2024-07-15,59284.37273707832
2024-07-22,56574.13569412868
2024-07-29,55972.84753839761
2024-08-05,59269.24275930819
2024-08-12,60639.130710533726
2024-08-19,60446.76590196542
2024-08-26,59019.54194299217
2024-09-02,58033.67806461945
2024-09-09,63728.1983741528
2024-09-16,62349.099877445384
2024-09-23,64522.07289625645
2024-09-30,61986.87503743769
2024-10-07,65883.74947325072
2024-10-14,62477.89647305126
2024-10-21,56961.85445051513
2024-10-28,58097.720784658064
2024-11-04,66687.15909849363
2024-11-11,62750.64757862941
2024-11-18,62798.43022951845
2024-11-25,59794.40253388421
2024-12-02,58516.1696911885
2024-12-09,48597.33205427285
2024-12-16,43726.75656308086
2024-12-23,33283.86745654102
