ds,yhat,yhat_lower,yhat_upper,actual
2005-01-03,28972.75157610364,13193.19526710177,44682.97436512292,40551.0
2005-01-10,38750.271669528716,22182.531190424073,54295.94107123079,51300.0
2005-01-17,49933.76437043277,33115.819702820016,66273.49678142133,55651.0
2005-01-24,55446.22748594776,39001.291519816754,70370.72876567105,54173.0
2005-01-31,54096.95087818699,38003.2216425517,68940.67226018908,48438.0
2005-02-07,50396.6159926743,33357.5373517251,66609.00966606628,46889.0
2005-02-14,49130.22110977758,34477.22911410864,65478.0478271064,54380.0
2005-02-21,50871.90461303351,35182.74999718021,66376.05427986456,56630.0
2005-02-28,52766.314984330165,37556.45443563797,67595.54041160272,46168.0
2005-03-07,52649.278448678415,36669.930726435465,68254.35702784169,43962.0
2005-03-14,51342.797196539024,34162.54301595875,67433.811486798,51320.0
2005-03-21,50957.52913893263,34768.74640687829,67410.55600620229,53536.0
2005-03-28,52000.49046282213,36442.06383821141,67170.14892938908,50674.0
2005-04-04,52996.7365643064,37857.399265518216,69987.5034271142,56378.0
2005-04-11,52687.58629510951,37788.43044932574,68577.86966429999,61962.0
2005-04-18,51666.41101248955,36717.815230233,67644.33971573046,58987.0
2005-04-25,51422.12134131287,34920.078661564046,66302.65948171435,54140.0
2005-05-02,52298.48320322465,36787.561102756204,68945.6749311639,45694.0
2005-05-09,53123.40750692679,36699.91457474631,69169.2686829101,54680.0
2005-05-16,52846.81224262728,36205.74243930071,68956.99815620884,59084.0
2005-05-23,51880.14889928369,36087.388685941274,66866.08543631803,54217.0
2005-05-30,51411.83981442591,36752.84109507448,67965.80981170567,51886.0
2005-06-06,51785.41932336858,36432.93765040925,66304.94898622947,55100.0
2005-06-13,52200.45634531984,36917.79627501583,67606.78022978167,53755.0
2005-06-20,52042.73281301427,37555.64485549959,69272.05003340074,57520.0
2005-06-27,51847.63786830079,36498.415490157815,67646.22138419781,54503.0
2005-07-04,52433.250785071585,37400.48477366481,69391.76868025915,51107.0
2005-07-11,53375.10739357728,37207.120418298706,69157.7270969362,57471.0
2005-07-18,53086.913251657876,37679.67176215135,68828.56709943543,59947.0
2005-07-25,50710.23966171868,34174.00196298695,67910.55523907111,53859.0
2005-08-01,47478.97087867469,31048.822928841288,63495.01573703366,48801.0
2005-08-08,45667.51036767246,31056.689933271246,60469.24199770795,45990.0
2005-08-15,46239.83185706443,30432.431002825884,61678.0719801587,43429.0
2005-08-22,48020.20802642785,32514.544776773662,63603.22226238595,51200.0
2005-08-29,49328.1272279597,32620.822928028,66314.13558433717,46575.0
2005-09-05,49932.54805425748,33302.866405932065,65986.35144199306,47779.0
2005-09-12,50877.23406904983,34889.427418937914,66597.58869142718,58679.0
2005-09-19,52592.56484743956,36877.87499424311,67386.88049221308,60121.0
2005-09-26,53964.44691322209,38834.28662284398,68655.98820314657,52952.0
2005-10-03,53689.527909484066,37468.77949295764,68779.87726213889,50532.0
2005-10-10,52091.4546314868,35901.856743332784,67441.24392389966,52599.0
2005-10-17,50860.52465816102,35115.136978600174,66789.80189416604,58175.0
2005-10-24,50960.55778323749,35199.873518944885,67399.7300348823,51714.0
2005-10-31,51526.766863807185,35473.94937943011,67349.82892355566,47623.0
2005-11-07,51341.95511400254,36494.08223535167,66327.52482275388,48862.0
2005-11-14,50868.26626731417,35054.067014776876,67244.09188916234,58471.0
