VJAVKW_DT,VJAVKW,TTOKM
2005-01-03,200501,40551.0
2005-01-10,200502,51300.0
2005-01-17,200503,55651.0
2005-01-24,200504,54173.0
2005-01-31,200505,48438.0
2005-02-07,200506,46889.0
2005-02-14,200507,54380.0
2005-02-21,200508,56630.0
2005-02-28,200509,46168.0
2005-03-07,200510,43962.0
2005-03-14,200511,51320.0
2005-03-21,200512,53536.0
2005-03-28,200513,50674.0
2005-04-04,200514,56378.0
2005-04-11,200515,61962.0
2005-04-18,200516,58987.0
2005-04-25,200517,54140.0
2005-05-02,200518,45694.0
2005-05-09,200519,54680.0
2005-05-16,200520,59084.0
2005-05-23,200521,54217.0
2005-05-30,200522,51886.0
2005-06-06,200523,55100.0
2005-06-13,200524,53755.0
2005-06-20,200525,57520.0
2005-06-27,200526,54503.0
2005-07-04,200527,51107.0
2005-07-11,200528,57471.0
2005-07-18,200529,59947.0
2005-07-25,200530,53859.0
2005-08-01,200531,48801.0
2005-08-08,200532,45990.0
2005-08-15,200533,43429.0
2005-08-22,200534,51200.0
2005-08-29,200535,46575.0
2005-09-05,200536,47779.0
2005-09-12,200537,58679.0
2005-09-19,200538,60121.0
2005-09-26,200539,52952.0
2005-10-03,200540,50532.0
2005-10-10,200541,52599.0
2005-10-17,200542,58175.0
2005-10-24,200543,51714.0
2005-10-31,200544,47623.0
2005-11-07,200545,48862.0
2005-11-14,200546,58471.0
2005-11-21,200547,55042.0
2005-11-28,200548,50172.0
2005-12-05,200549,48780.0
2005-12-12,200550,50195.0
2005-12-19,200551,33538.0
2005-12-26,200552,17475.0
2006-01-02,200553,3056.0
2006-01-02,200601,35067.0
2006-01-09,200602,38082.0
2006-01-16,200603,42175.0
2006-01-23,200604,46757.0
2006-01-30,200605,48826.0
2006-02-06,200606,53077.0
2006-02-13,200607,51828.0
2006-02-20,200608,47331.0
2006-02-27,200609,43804.0
2006-03-06,200610,44153.0
2006-03-13,200611,54535.0
2006-03-20,200612,59410.0
2006-03-27,200613,56045.0
2006-04-03,200614,50370.0
2006-04-10,200615,53907.0
2006-04-17,200616,57172.0
2006-04-24,200617,54305.0
2006-05-01,200618,47905.0
2006-05-08,200619,52943.0
2006-05-15,200620,50395.0
2006-05-22,200621,51072.0
2006-05-29,200622,53875.0
2006-06-05,200623,49160.0
2006-06-12,200624,46257.0
2006-06-19,200625,52956.0
2006-06-26,200626,56323.0
2006-07-03,200627,52426.0
2006-07-10,200628,58720.0
2006-07-17,200629,60743.0
2006-07-24,200630,58068.0
2006-07-31,200631,49368.0
2006-08-07,200632,53883.0
2006-08-14,200633,54695.0
2006-08-21,200634,66401.0
2006-08-28,200635,58209.0
2006-09-04,200636,55620.0
2006-09-11,200637,57694.0
2006-09-18,200638,60292.0
2006-09-25,200639,63324.0
2006-10-02,200640,56496.0
2006-10-09,200641,61422.0
2006-10-16,200642,57350.0
2006-10-23,200643,55853.0
2006-10-30,200644,52032.0
2006-11-06,200645,59735.0
2006-11-13,200646,54903.0
2006-11-20,200647,60539.0
2006-11-27,200648,55794.0
2006-12-04,200649,51162.0
2006-12-11,200650,55663.0
2006-12-18,200651,43677.0
2006-12-25,200652,32985.0
2007-01-01,200701,51343.0
2007-01-08,200702,58365.0
2007-01-15,200703,59091.0
2007-01-22,200704,57353.0
2007-01-29,200705,55535.0
2007-02-05,200706,60599.0
2007-02-12,200707,67398.0
2007-02-19,200708,66753.0
2007-02-26,200709,64521.0
2007-03-05,200710,57798.0
2007-03-12,200711,59297.0
2007-03-19,200712,58348.0
2007-03-26,200713,61192.0
2007-04-02,200714,54863.0
2007-04-09,200715,55874.0
2007-04-16,200716,58564.0
2007-04-23,200717,64424.0
2007-04-30,200718,45951.0
2007-05-07,200719,58471.0
2007-05-14,200720,57566.0
2007-05-21,200721,59083.0
2007-05-28,200722,55970.0
2007-06-04,200723,46342.0
2007-06-11,200724,52674.0
2007-06-18,200725,51985.0
2007-06-25,200726,54220.0
2007-07-02,200727,45190.0
2007-07-09,200728,50119.0
2007-07-16,200729,41849.0
2007-07-23,200730,42412.0
2007-07-30,200731,41807.0
2007-08-06,200732,41514.0
2007-08-13,200733,40625.0
2007-08-20,200734,54790.0
2007-08-27,200735,50111.0
2007-09-03,200736,51168.0
2007-09-10,200737,56235.0
2007-09-17,200738,60367.0
2007-09-24,200739,56359.0
2007-10-01,200740,56277.0
2007-10-08,200741,61366.0
2007-10-15,200742,60039.0
2007-10-22,200743,58626.0
2007-10-29,200744,53013.0
2007-11-05,200745,57744.0
2007-11-12,200746,57973.0
2007-11-19,200747,58780.0
2007-11-26,200748,55682.0
2007-12-03,200749,56998.0
2007-12-10,200750,57659.0
2007-12-17,200751,48371.0
2007-12-24,200752,21281.0
2008-01-07,200801,30842.0
2008-01-14,200802,46533.0
2008-01-21,200803,58064.0
2008-01-28,200804,63463.0
2008-02-04,200805,58715.0
2008-02-11,200806,53728.0
2008-02-18,200807,57788.0
2008-02-25,200808,59663.0
2008-03-03,200809,57863.0
2008-03-10,200810,54611.0
2008-03-17,200811,62147.0
2008-03-24,200812,57584.0
2008-03-31,200813,52606.0
2008-04-07,200814,54393.0
2008-04-14,200815,56601.0
2008-04-21,200816,60290.0
2008-04-28,200817,67142.0
2008-05-05,200818,54925.0
2008-05-12,200819,59366.0
2008-05-19,200820,55717.0
2008-05-26,200821,64480.0
2008-06-02,200822,63310.0
2008-06-09,200823,56915.0
2008-06-16,200824,57685.0
2008-06-23,200825,59507.0
2008-06-30,200826,61564.0
2008-07-07,200827,49395.0
2008-07-14,200828,60958.0
2008-07-21,200829,61686.0
2008-07-28,200830,65448.0
2008-08-04,200831,57402.0
2008-08-11,200832,53695.0
2008-08-18,200833,34410.0
2008-08-25,200834,56427.0
2008-09-01,200835,64671.0
2008-09-08,200836,56531.0
2008-09-15,200837,57243.0
2008-09-22,200838,66229.0
2008-09-29,200839,65054.0
2008-10-06,200840,61692.0
2008-10-13,200841,57162.0
2008-10-20,200842,58837.0
2008-10-27,200843,62227.0
2008-11-03,200844,62190.0
2008-11-10,200845,56536.0
2008-11-17,200846,57074.0
2008-11-24,200847,64651.0
2008-12-01,200848,55772.0
2008-12-08,200849,46518.0
2008-12-15,200850,47844.0
2008-12-22,200851,31955.0
2008-12-29,200852,14781.0
2009-01-05,200901,8393.0
2009-01-12,200902,29718.0
2009-01-19,200903,35128.0
2009-01-26,200904,41421.0
2009-02-02,200905,43724.0
2009-02-09,200906,37252.0
2009-02-16,200907,36994.0
2009-02-23,200908,33316.0
2009-03-02,200909,32187.0
2009-03-09,200910,32006.0
2009-03-16,200911,36782.0
2009-03-23,200912,33668.0
2009-03-30,200913,32749.0
2009-04-06,200914,34418.0
2009-04-13,200915,29443.0
2009-04-20,200916,29423.0
2009-04-27,200917,35587.0
2009-05-04,200918,28370.0
2009-05-11,200919,34793.0
2009-05-18,200920,39115.0
2009-05-25,200921,30331.0
2009-06-01,200922,35206.0
2009-06-08,200923,33513.0
2009-06-15,200924,33720.0
2009-06-22,200925,40240.0
2009-06-29,200926,35938.0
