,yhat
2023-01-02,26496.992967045117
2023-01-09,26551.21913791114
2023-01-16,27386.989012556758
2023-01-23,25989.717858681834
2023-01-30,25765.5382378542
2023-02-06,26714.466778502498
2023-02-13,26339.021366381567
2023-02-20,26648.02212529228
2023-02-27,25002.701768831128
2023-03-06,24750.322188120754
2023-03-13,24877.932564892322
2023-03-20,24509.891699310145
2023-03-27,25040.851937689888
2023-04-03,24684.97853687048
2023-04-10,25223.312216730126
2023-04-17,24158.084958593427
2023-04-24,24791.702012349386
2023-05-01,24766.40554525433
2023-05-08,25052.947563577898
2023-05-15,24810.59556902678
2023-05-22,25821.858188488477
2023-05-29,25694.787366895667
2023-06-05,25607.349027858516
2023-06-12,24819.207334100196
2023-06-19,25598.78027610052
2023-06-26,24725.864888466283
2023-07-03,24725.28873800959
2023-07-10,24008.801445615518
2023-07-17,24152.232966640717
2023-07-24,23140.640860948795
2023-07-31,24776.03801562845
2023-08-07,25795.144107301832
2023-08-14,24322.90360463652
2023-08-21,25352.630131896287
2023-08-28,24951.02027996917
2023-09-04,24917.484621886637
2023-09-11,24736.618848070026
2023-09-18,24177.829825606783
2023-09-25,24758.59421501924
2023-10-02,24356.654907102664
2023-10-09,25370.662827753284
2023-10-16,23824.52511796557
2023-10-23,25415.54382675928
2023-10-30,26118.400869278015
2023-11-06,25098.991517496313
2023-11-13,24914.472197166364
2023-11-20,23814.297051855094
2023-11-27,22648.650318254866
2023-12-04,24767.802362664712
2023-12-11,23155.79413733519
2023-12-18,23928.180976198793
2023-12-25,23092.102374326096
2024-01-01,26524.19121328734
2024-01-08,26578.41738415336
2024-01-15,27414.18725879898
2024-01-22,26016.916104924057
2024-01-29,25792.736484096426
2024-02-05,26741.665024744718
2024-02-12,26366.219612623787
2024-02-19,26675.220371534502
2024-02-26,25029.900015073352
2024-03-04,24777.520434362974
2024-03-11,24905.130811134542
2024-03-18,24537.08994555237
2024-03-25,25068.05018393211
2024-04-01,24712.1767831127
2024-04-08,25250.510462972346
2024-04-15,24185.28320483565
2024-04-22,24818.90025859161
2024-04-29,24793.60379149655
2024-05-06,25080.14580982012
2024-05-13,24837.793815269004
2024-05-20,25849.0564347307
2024-05-27,25721.985613137887
2024-06-03,25634.547274100736
2024-06-10,24846.40558034242
2024-06-17,25625.978522342743
2024-06-24,24753.063134708504
2024-07-01,24752.486984251813
2024-07-08,24035.99969185774
2024-07-15,24179.431212882937
2024-07-22,23167.839107191016
2024-07-29,24803.236261870672
2024-08-05,25822.342353544056
2024-08-12,24350.101850878746
2024-08-19,25379.82837813851
2024-08-26,24978.218526211393
2024-09-02,24944.68286812886
2024-09-09,24763.817094312246
2024-09-16,24205.028071849003
2024-09-23,24785.792461261462
2024-09-30,24383.853153344888
2024-10-07,25397.861073995504
2024-10-14,23851.72336420779
2024-10-21,25442.742073001504
2024-10-28,26145.59911552024
2024-11-04,25126.189763738534
2024-11-11,24941.670443408584
2024-11-18,23841.495298097318
2024-11-25,22675.84856449709
2024-12-02,24795.000608906932
2024-12-09,23182.99238357741
2024-12-16,23955.379222441017
2024-12-23,23119.300620568316
