ds,yhat,yhat_lower,yhat_upper,actual
2005-01-03,21602.06318162508,14515.554306241365,29357.073163673365,21725.0
2005-01-10,23342.26693045602,15602.510048355036,31191.96352162799,25017.0
2005-01-17,25361.8885100536,17671.044364614692,32959.70233591134,24857.0
2005-01-24,26291.735340115487,18730.667256650522,33755.84364470244,24060.0
2005-01-31,25957.696848225358,18356.602030357393,33674.7198214013,23434.0
2005-02-07,25306.980889442726,18191.136903736762,33243.326202487726,23523.0
2005-02-14,25242.487075522597,17608.04528722986,32225.06686200016,20633.0
2005-02-21,25732.482840309374,18588.587014276214,32686.280036515203,23622.0
2005-02-28,26082.2546686119,18356.60529278301,33170.19918820692,22306.0
2005-03-07,25856.820673287937,18428.244602688268,33440.45783344377,23292.0
2005-03-14,25312.880820999468,17491.23261784384,32752.74597847646,22986.0
2005-03-21,24954.870409665324,17831.674832587498,32488.72076878284,22077.0
2005-03-28,24908.51798051634,17271.247009593066,32413.118698226095,24402.0
2005-04-04,24891.97570037705,17804.734309610532,31846.56442105596,21598.0
2005-04-11,24698.118842613756,17182.027971821433,31690.01401832281,23190.0
2005-04-18,24476.304981334964,16598.58384114894,31728.646244681313,22530.0
2005-04-25,24469.141968690583,16892.256106905832,32486.996726865207,23559.0
2005-05-02,24631.36125818353,17002.58887813628,31900.109552507314,21793.0
2005-05-09,24681.638675260354,16536.529132601867,32631.519654721695,23165.0
2005-05-16,24500.3984869431,17314.92555950719,31759.38295048632,23332.0
2005-05-23,24298.63641619903,16777.468743825888,31359.606482048683,22506.0
2005-05-30,24312.070821244804,17056.710768045366,31604.319979748263,23338.0
2005-06-06,24452.05144392763,16556.974668644838,31684.754207917376,25462.0
2005-06-13,24422.449501252766,16270.077175347878,32186.179743675886,24180.0
2005-06-20,24164.73230595974,17013.61189404691,31719.78728172461,22183.0
2005-06-27,24002.725437668043,16300.719907778333,31331.374668432687,21673.0
2005-07-04,24225.904513717076,17020.84288050849,31600.215886601964,22674.0
2005-07-11,24624.46587771127,17275.625344151358,32653.10689720271,23335.0
2005-07-18,24628.945122210742,16963.529354121365,32545.131771200122,25456.0
2005-07-25,23965.597893666032,16269.768883783676,32138.228322769377,21896.0
2005-08-01,23042.924129078365,15233.869408028388,30435.668924227342,20937.0
2005-08-08,22559.54287081815,14988.918120506074,29933.56728137959,21177.0
2005-08-15,22768.497919675392,14998.871587434352,30306.367632117413,20493.0
2005-08-22,23263.997854781952,16195.253099894377,31140.698677733228,20232.0
2005-08-29,23514.927441648746,16164.07669355422,31731.80901028055,23348.0
2005-09-05,23457.862591465717,15533.452250011473,31634.02276161279,23424.0
2005-09-12,23432.14588811924,15959.39855453853,31137.466756967027,23833.0
2005-09-19,23612.91539173945,15911.566853188368,31436.477596126097,22973.0
2005-09-26,23736.039027245388,16567.149405935485,31355.8540549103,26257.0
2005-10-03,23486.508180923123,16049.316363165879,31498.17609154472,23255.0
2005-10-10,23005.717266258638,15104.958353269421,30337.15660710719,24398.0
2005-10-17,22788.46024857597,15782.833352353528,30226.19136725263,24651.0
2005-10-24,23057.02083393517,15375.772351508733,30312.860589363943,25145.0
2005-10-31,23444.340865259932,16230.257440532254,30994.98970796987,22779.0
2005-11-07,23463.203094207554,15709.391219778192,30936.7384308221,25354.0
2005-11-14,23187.85234974567,15097.243723995864,30708.349710392544,25621.0
2005-11-21,23208.44489029039,15289.84384143024,31161.118103772922,24465.0
2005-11-28,23806.728066465756,16952.44779719833,30893.538640582276,23431.0
2005-12-05,24376.76184281934,17212.90899601992,31879.302672258513,22683.0
2005-12-12,23955.305297165312,16675.346817928617,31508.180358156944,24925.0
2005-12-19,22396.265031859806,14765.542421438971,29524.940368969612,25008.0
2005-12-26,20813.862141955728,13383.065083642128,28309.306357238136,20956.0
2006-01-02,20629.73136380107,13419.387873560787,28133.08965609834,23017.0
2006-01-09,22154.678537896794,15386.28973402482,29072.75968118582,27090.0
2006-01-16,24244.65049643366,15997.335127338605,31485.626009986197,23414.0
2006-01-23,25424.465314333975,18354.978705873662,32841.1864736702,25150.0
2006-01-30,25266.7793428426,17213.803936503253,32765.797166140248,26160.0
2006-02-06,24587.909187415655,17001.496377629566,32743.89488423759,26396.0
2006-02-13,24390.734765666253,17233.22983284458,32177.943042926447,24374.0
2006-02-20,24825.144300001703,17759.96313379167,32745.267164302928,23888.0
2006-02-27,25250.414468495634,17969.068509875575,32676.600196641226,25327.0
2006-03-06,25127.094559753412,17693.11859223592,33072.69026637829,24301.0
2006-03-13,24600.20920223504,16987.971039390373,31956.035807698132,24612.0
2006-03-20,24184.009623095302,16156.209490346582,31970.48466881054,26148.0
2006-03-27,24096.03716409242,17067.4363679426,31904.7309310852,24472.0
2006-04-03,24098.28954639597,16566.687094046865,31675.90757709667,24007.0
2006-04-10,23934.719584718165,16455.473626517734,32373.219609387095,24788.0
2006-04-17,23696.535950742873,16279.101981588641,31120.997963280442,23137.0
2006-04-24,23643.503815255848,16184.827282951177,31570.345854656127,24450.0
2006-05-01,23793.931583876867,15966.754660097835,31184.26270230001,24440.0
2006-05-08,23882.694490593072,17146.840242762544,31588.14147934448,26116.0
2006-05-15,23735.08152260058,16337.068253059571,31160.90479176555,25003.0
2006-05-22,23514.238820356564,16025.704299946043,30444.28081135833,23359.0
2006-05-29,23484.631027829084,16217.713736613829,31412.755142852508,24305.0
2006-06-05,23623.24836815164,16206.253461430319,31251.896925578094,23017.0
2006-06-12,23640.355617632136,16288.167197091774,31130.164815641554,24080.0
2006-06-19,23407.836086796608,15689.450039882298,30457.679860280656,24853.0
2006-06-26,23198.47661867255,15882.764741485616,30308.776128102414,26747.0
2006-07-03,23351.25416009128,16276.277865390906,30394.416441182468,25513.0
2006-07-10,23757.24398807189,16269.242756144777,31483.251675487256,24505.0
2006-07-17,23869.672989122504,16139.449635554221,31443.83014839384,24687.0
2006-07-24,23314.606914622327,15912.42578532259,30823.931983541595,24094.0
2006-07-31,22385.211185098648,14741.27415344278,29873.77188922729,23860.0
2006-08-07,21784.288436991723,14756.29633622729,28951.433303900565,24138.0
2006-08-14,21884.137357159245,14849.760134898837,29550.96766249014,22962.0
2006-08-21,22373.876044762772,14771.281598965234,30299.54922101343,23603.0
2006-08-28,22690.405253201337,15262.44058191311,29564.73927858121,23975.0
2006-09-04,22668.573453125526,14901.520593418567,30157.096262137988,21851.0
2006-09-11,22612.26164017188,14846.59110989624,30246.922423741395,23898.0
2006-09-18,22764.651981023027,15133.028034167393,29956.90470479168,23438.0
2006-09-25,22928.14442771356,15508.991990918208,30800.84025160153,24159.0
2006-10-02,22751.20293291355,15438.411237258015,30592.026960057683,22878.0
2006-10-09,22278.546292664538,14985.022361567242,29693.0714093704,24879.0
2006-10-16,21981.698337979768,14927.203358799236,29569.024097151454,22513.0
2006-10-23,22175.38277147294,14711.962420925598,29762.74331378242,23184.0
2006-10-30,22584.38008173549,15277.808834182364,30213.844560234877,22622.0
2006-11-06,22685.131165448573,15644.802267938776,30269.458226782837,24734.0
2006-11-13,22425.65442322001,15054.490149208656,29655.616990337967,24092.0
2006-11-20,22351.35427943455,14664.596397976604,29919.356876399084,25078.0
2006-11-27,22865.30097100062,14713.919624112192,30291.146793352404,25639.0
2006-12-04,23515.879849722092,15732.85225382688,31217.91435258926,23178.0
2006-12-11,23319.37442481063,16025.678594651914,31399.121584322125,24439.0
2006-12-18,21912.918818782968,13782.484644142953,29750.254933470595,23750.0
2006-12-25,20218.832406319103,12588.43030021342,27198.818020739003,20338.0
2007-01-01,19716.250933307263,11898.38319778876,26931.286690972676,29572.0
2007-01-08,20986.0610850399,13679.555912358679,28408.92549585587,26803.0
2007-01-15,23095.196347322326,15805.788074026172,30480.106000212527,25142.0
2007-01-22,24510.827981126655,16748.77942240645,32425.921413379463,24556.0
2007-01-29,24558.783432512213,17442.29496036152,32177.123448003822,25298.0
2007-02-05,23886.862007160842,16144.836078686038,31170.90627200744,24752.0
2007-02-12,23561.496903609022,15778.373401569512,30989.403432068237,25409.0
