VJAVKW_DT,yhat,lower,upper
2023-01-02,23998.093566288884,17671.321257296957,30324.86587528081
2023-01-09,24317.547229162676,17679.1182728817,30955.97618544365
2023-01-16,24405.18422645512,17567.081974231463,31243.286478678776
2023-01-23,24405.18422645512,17435.854556353905,31374.513896556335
2023-01-30,24405.18422645512,17307.052804084862,31503.315648825377
2023-02-06,24405.18422645512,17180.546981033942,31629.821471876297
2023-02-13,24405.18422645512,17056.218519186255,31754.149933723984
2023-02-20,24405.18422645512,16933.95871752416,31876.409735386078
2023-02-27,24405.18422645512,16813.66762935889,31996.70082355135
2023-03-06,24405.18422645512,16695.253105966793,32115.115346943447
2023-03-13,24405.18422645512,16578.62997050306,32231.738482407178
2023-03-20,24405.18422645512,16463.719301137615,32346.649151772624
2023-03-27,24405.18422645512,16350.447806265132,32459.920646645107
2023-04-03,24405.18422645512,16238.747277734958,32571.62117517528
2023-04-10,24405.18422645512,16128.554110513684,32681.814342396556
2023-04-17,24405.18422645512,16019.808879173663,32790.55957373658
2023-04-24,24405.18422645512,15912.455963200578,32897.91248970966
2023-05-01,24405.18422645512,15806.443214413337,33003.9252384969
2023-05-08,24405.18422645512,15701.721660851921,33108.646792058316
2023-05-15,24405.18422645512,15598.245242361776,33212.12321054847
2023-05-22,24405.18422645512,15495.970573823932,33314.397879086304
2023-05-29,24405.18422645512,15394.85673257806,33415.51172033218
2023-06-05,24405.18422645512,15294.865067084045,33515.503385826196
2023-06-12,24405.18422645512,15195.959024284712,33614.40942862553
2023-06-19,24405.18422645512,15098.103993483157,33712.26445942708
2023-06-26,24405.18422645512,15001.267164843808,33809.101288066435
2023-07-03,24405.18422645512,14905.41740087718,33904.95105203306
2023-07-10,24405.18422645512,14810.525119481175,33999.84333342906
2023-07-17,24405.18422645512,14716.562187293672,34093.80626561657
2023-07-24,24405.18422645512,14623.501822266575,34186.866630643664
2023-07-31,24405.18422645512,14531.318504505147,34279.049948405096
2023-08-07,24405.18422645512,14439.987894531421,34370.38055837882
2023-08-14,24405.18422645512,14349.486758229836,34460.8816946804
2023-08-21,24405.18422645512,14259.792897819281,34550.57555509096
2023-08-28,24405.18422645512,14170.885088270516,34639.483364639724
2023-09-04,24405.18422645512,14082.743018652916,34727.62543425732
2023-09-11,24405.18422645512,13995.347237951415,34815.021214958826
2023-09-18,24405.18422645512,13908.679104944114,34901.68934796612
2023-09-25,24405.18422645512,13822.72074177474,34987.6477111355
2023-10-02,24405.18422645512,13737.454990892358,35072.91346201788
2023-10-09,24405.18422645512,13652.865375064628,35157.50307784561
