VJAVKW_DT,VJAVKW,TTOKM
2005-01-03,200501,21725.0
2005-01-10,200502,25017.0
2005-01-17,200503,24857.0
2005-01-24,200504,24060.0
2005-01-31,200505,23434.0
2005-02-07,200506,23523.0
2005-02-14,200507,20633.0
2005-02-21,200508,23622.0
2005-02-28,200509,22306.0
2005-03-07,200510,23292.0
2005-03-14,200511,22986.0
2005-03-21,200512,22077.0
2005-03-28,200513,24402.0
2005-04-04,200514,21598.0
2005-04-11,200515,23190.0
2005-04-18,200516,22530.0
2005-04-25,200517,23559.0
2005-05-02,200518,21793.0
2005-05-09,200519,23165.0
2005-05-16,200520,23332.0
2005-05-23,200521,22506.0
2005-05-30,200522,23338.0
2005-06-06,200523,25462.0
2005-06-13,200524,24180.0
2005-06-20,200525,22183.0
2005-06-27,200526,21673.0
2005-07-04,200527,22674.0
2005-07-11,200528,23335.0
2005-07-18,200529,25456.0
2005-07-25,200530,21896.0
2005-08-01,200531,20937.0
2005-08-08,200532,21177.0
2005-08-15,200533,20493.0
2005-08-22,200534,20232.0
2005-08-29,200535,23348.0
2005-09-05,200536,23424.0
2005-09-12,200537,23833.0
2005-09-19,200538,22973.0
2005-09-26,200539,26257.0
2005-10-03,200540,23255.0
2005-10-10,200541,24398.0
2005-10-17,200542,24651.0
2005-10-24,200543,25145.0
2005-10-31,200544,22779.0
2005-11-07,200545,25354.0
2005-11-14,200546,25621.0
2005-11-21,200547,24465.0
2005-11-28,200548,23431.0
2005-12-05,200549,22683.0
2005-12-12,200550,24925.0
2005-12-19,200551,25008.0
2005-12-26,200552,20956.0
2006-01-02,200553,517.0
2006-01-02,200601,22500.0
2006-01-09,200602,27090.0
2006-01-16,200603,23414.0
2006-01-23,200604,25150.0
2006-01-30,200605,26160.0
2006-02-06,200606,26396.0
2006-02-13,200607,24374.0
2006-02-20,200608,23888.0
2006-02-27,200609,25327.0
2006-03-06,200610,24301.0
2006-03-13,200611,24612.0
2006-03-20,200612,26148.0
2006-03-27,200613,24472.0
2006-04-03,200614,24007.0
2006-04-10,200615,24788.0
2006-04-17,200616,23137.0
2006-04-24,200617,24450.0
2006-05-01,200618,24440.0
2006-05-08,200619,26116.0
2006-05-15,200620,25003.0
2006-05-22,200621,23359.0
2006-05-29,200622,24305.0
2006-06-05,200623,23017.0
2006-06-12,200624,24080.0
2006-06-19,200625,24853.0
2006-06-26,200626,26747.0
2006-07-03,200627,25513.0
2006-07-10,200628,24505.0
2006-07-17,200629,24687.0
2006-07-24,200630,24094.0
2006-07-31,200631,23860.0
2006-08-07,200632,24138.0
2006-08-14,200633,22962.0
2006-08-21,200634,23603.0
2006-08-28,200635,23975.0
2006-09-04,200636,21851.0
2006-09-11,200637,23898.0
2006-09-18,200638,23438.0
2006-09-25,200639,24159.0
2006-10-02,200640,22878.0
2006-10-09,200641,24879.0
2006-10-16,200642,22513.0
2006-10-23,200643,23184.0
2006-10-30,200644,22622.0
2006-11-06,200645,24734.0
2006-11-13,200646,24092.0
2006-11-20,200647,25078.0
2006-11-27,200648,25639.0
2006-12-04,200649,23178.0
2006-12-11,200650,24439.0
2006-12-18,200651,23750.0
2006-12-25,200652,20338.0
2007-01-01,200701,29572.0
2007-01-08,200702,26803.0
2007-01-15,200703,25142.0
2007-01-22,200704,24556.0
