,yhat
2023-01-02,22913.139329779253
2023-01-09,36141.71782293908
2023-01-16,40831.80146899901
2023-01-23,37863.91475475885
2023-01-30,35441.145566319596
2023-02-06,37519.58297648541
2023-02-13,38072.6425832029
2023-02-20,38062.14909121739
2023-02-27,36070.72079033361
2023-03-06,35717.87921603025
2023-03-13,34371.2227062356
2023-03-20,32671.85855696222
2023-03-27,30539.63231269283
2023-04-03,27690.264364978717
2023-04-10,31944.53700234497
2023-04-17,25459.5290202654
2023-04-24,31834.203917221712
2023-05-01,30152.578177786356
2023-05-08,32546.3010734822
2023-05-15,27936.840082606013
2023-05-22,22380.95748501157
2023-05-29,29688.046653171696
2023-06-05,27075.068917710716
2023-06-12,26678.60059241416
2023-06-19,29934.377658243782
2023-06-26,30494.77069121153
2023-07-03,26200.454316969262
2023-07-10,27893.30182230409
2023-07-17,29327.31237469208
2023-07-24,26847.157972210643
2023-07-31,20905.39592675836
2023-08-07,22536.03272078272
2023-08-14,26012.37070921176
2023-08-21,32797.50946772806
2023-08-28,33820.081780677436
2023-09-04,34164.99780837243
2023-09-11,35138.469423297545
2023-09-18,35063.72163395681
2023-09-25,32902.95752878791
2023-10-02,35262.51713154351
2023-10-09,37806.838991932236
2023-10-16,33280.270519524
2023-10-23,29141.35697575371
2023-10-30,31366.030264977428
2023-11-06,36362.92722630368
2023-11-13,36995.76535273125
2023-11-20,35896.70173848698
2023-11-27,30663.043975097327
2023-12-04,31136.389882237538
2023-12-11,22944.224318187582
2023-12-18,12295.660819671175
2023-12-25,6123.084999673429
2024-01-01,21777.10071233231
2024-01-08,35005.67920549213
2024-01-15,39695.76285155207
2024-01-22,36727.87613731191
2024-01-29,34305.10694887265
2024-02-05,36383.544359038475
2024-02-12,36936.60396575595
2024-02-19,36926.110473770445
2024-02-26,34934.68217288666
2024-03-04,34581.8405985833
2024-03-11,33235.18408878866
2024-03-18,31535.819939515277
2024-03-25,29403.593695245887
2024-04-01,26554.22574753177
2024-04-08,30808.498384898026
2024-04-15,24323.490402818457
2024-04-22,30698.16529977477
2024-04-29,29016.539560339414
2024-05-06,31410.262456035256
2024-05-13,26800.80146515907
2024-05-20,21244.91886756463
2024-05-27,28552.00803572475
2024-06-03,25939.030300263774
2024-06-10,25542.56197496722
2024-06-17,28798.33904079684
2024-06-24,29358.73207376459
2024-07-01,25064.41569952232
2024-07-08,26757.263204857147
2024-07-15,28191.273757245137
2024-07-22,25711.119354763698
2024-07-29,19769.357309311417
2024-08-05,21399.994103335775
2024-08-12,24876.332091764813
2024-08-19,31661.47085028112
2024-08-26,32684.043163230497
2024-09-02,33028.95919092548
2024-09-09,34002.4308058506
2024-09-16,33927.683016509865
2024-09-23,31766.918911340963
2024-09-30,34126.47851409656
2024-10-07,36670.8003744853
2024-10-14,32144.231902077052
2024-10-21,28005.31835830677
2024-10-28,30229.991647530485
2024-11-04,35226.88860885673
2024-11-11,35859.726735284305
2024-11-18,34760.663121040045
2024-11-25,29527.00535765038
2024-12-02,30000.351264790595
2024-12-09,21808.185700740636
2024-12-16,11159.62220222423
2024-12-23,4987.0463822264865
