ds,yhat,yhat_lower,yhat_upper,actual
2005-01-03,24818.900756607894,14678.35566417672,35124.04859126157,18675.0
2005-01-10,34355.39569636491,23733.701006910225,44990.495511449306,41784.0
2005-01-17,46699.509812743476,36136.88909924003,57096.431390799975,49577.0
2005-01-24,53860.674010344286,42554.71058220247,65073.13897867513,48625.0
2005-01-31,53710.91760719694,42793.66114994861,65007.36927169656,45873.0
2005-02-07,50672.95739832599,39419.55238198461,61331.491595446925,46293.0
2005-02-14,50030.635923461356,38915.6499039507,61369.60121212469,48279.0
2005-02-21,52550.73424101935,41726.233553384845,63612.25928761009,47095.0
2005-02-28,54967.00485139343,43840.669288198595,65915.88773431264,44690.0
2005-03-07,54715.014587196914,44039.953195216396,64460.7830042161,46512.0
2005-03-14,52821.89600793249,41490.94978794384,63850.924743989344,48871.0
2005-03-21,51940.57664641429,41149.96970763648,63096.04582251819,52534.0
2005-03-28,52725.21267700337,41385.77538745749,63190.47027221833,44838.0
2005-04-04,53314.456013372605,41737.25073024693,64573.188049471195,58609.0
2005-04-11,52200.346103864744,41566.600790327626,63621.62841923888,59129.0
2005-04-18,50378.59021853033,39658.10786067999,61036.6794365031,61244.0
2005-04-25,49938.49881539868,38820.77663050646,60773.67405934811,61028.0
2005-05-02,51143.42075553836,40292.863772995646,63046.4233345054,50353.0
2005-05-09,52010.06910396489,40907.80630911798,62610.841690915164,60421.0
2005-05-16,50961.751889587424,40022.39785684459,61675.40445258002,50870.0
2005-05-23,48986.40008914533,37960.914663670854,59789.705501826276,52497.0
2005-05-30,48382.97846072237,38135.72236568596,59880.24449899672,53839.0
2005-06-06,49729.878190881165,38983.31023770128,60386.15921447769,54735.0
2005-06-13,51106.564183779,39656.12448740116,61935.87344465152,54579.0
2005-06-20,50639.740830061346,39543.25609515988,61554.00013599152,54628.0
2005-06-27,49001.42504274231,37815.8006013376,59707.14791025135,54796.0
2005-07-04,48453.315720670515,38073.12594252278,59809.712812912425,48401.0
2005-07-11,49571.82281750778,39317.03373128362,60235.11870116741,53425.0
2005-07-18,50011.84864791185,38574.3382214143,60568.22127401644,50921.0
2005-07-25,47243.59448217937,35683.594846992215,58343.65853019666,49127.0
2005-08-01,42063.461093161815,31323.260908701854,52532.872047227946,41921.0
2005-08-08,38405.33426081534,28102.949482591066,49005.89423825068,34066.0
2005-08-15,39355.03357004102,28858.700502430485,50489.02075040867,34024.0
2005-08-22,43925.437390065075,33628.980328326674,55210.8983659097,44593.0
2005-08-29,48285.762019166825,37279.371559667285,59158.93330359963,46087.0
2005-09-05,49840.38771421483,40006.491779822965,61558.24507270244,50581.0
2005-09-12,49372.945476792025,38896.65997359402,59979.982762393156,48532.0
2005-09-19,49161.09796385068,38223.5528708135,60533.58232630459,49541.0
2005-09-26,49903.53347144644,39182.94931661538,61613.82212475281,50100.0
2005-10-03,50302.79548342628,39102.50077807186,60851.03108161403,47869.0
2005-10-10,49331.40269267641,38083.24910953989,60253.29547105094,49595.0
2005-10-17,47806.07085126503,36943.79629847476,58886.38907296915,48630.0
2005-10-24,47229.651314388364,36257.633160382065,58975.78695769685,44300.0
2005-10-31,47793.23255354498,36248.42340060924,59084.41079605429,40137.0
2005-11-07,48467.378857067146,37790.03666821848,59132.192572347914,52129.0
2005-11-14,48897.00765538114,37862.162398281216,59883.57654486817,49190.0
2005-11-21,49970.12938230467,39957.673781184414,60843.05465561043,47353.0
2005-11-28,51714.9911912009,40040.123959022014,62778.32137402517,42177.0
2005-12-05,51426.054060608294,40356.86086881439,62063.78902628144,41401.0
2005-12-12,45586.54070165729,34512.87619180196,56965.29985664999,43042.0
2005-12-19,34508.60065136236,22743.182817656434,46235.068241928515,32466.0
2005-12-26,24222.59030261515,12978.564698186665,35063.86848084203,10010.0
2006-01-02,22183.929431094974,11512.711782421864,32443.467141030484,19829.0
2006-01-09,30337.078234410743,19152.620031638206,41192.14855268581,35234.0
2006-01-16,42844.32424182512,31958.728617937773,54090.55932114683,39592.0
2006-01-23,51312.66192600051,39373.00150746988,60793.36580223664,41771.0
2006-01-30,52281.36979899264,41360.61220564544,63054.16691105431,43223.0
2006-02-06,49302.31680962216,38270.34711776906,60372.90580500583,44592.0
2006-02-13,48013.24823413824,37823.51837340622,58576.85607250241,46968.0
2006-02-20,50145.039697384695,39860.62411112179,61005.895484719054,51759.0
2006-02-27,52852.60809367281,41749.53824849692,63697.35199151365,50892.0
2006-03-06,53105.23822335153,41554.55670554124,63989.99127800509,49035.0
2006-03-13,51304.04151718362,39833.42452793938,61785.605139631385,50615.0
2006-03-20,50103.51689655543,38875.65602051559,61176.05968165715,56900.0
2006-03-27,50681.26957625006,39647.10000566199,61539.30774542173,58442.0
2006-04-03,51471.449769317915,39846.28744641467,61770.20557687991,55075.0
2006-04-10,50662.98000963297,40562.403784303344,61392.92715764976,51540.0
2006-04-17,48804.25522686004,36338.11888136414,59605.10630972081,50580.0
2006-04-24,48017.584991741096,37253.9147176938,58323.5553178813,60384.0
2006-05-01,49033.12547844006,38650.26253696303,60168.54521741786,50110.0
2006-05-08,50130.90299040846,39501.7904358053,61228.74262608836,61567.0
2006-05-15,49430.754730829445,39370.6983994669,59706.57564706834,61806.0
2006-05-22,47449.38319227163,37417.78924510081,57805.18699951318,50675.0
2006-05-29,46476.6547996477,35683.593261669674,57120.879622388406,60197.0
2006-06-05,47563.5389487158,36527.69237534688,58761.9645054573,50399.0
2006-06-12,49119.543840500424,37815.251493334166,60428.0796441437,51697.0
2006-06-19,49016.87786077606,38276.679987730546,59811.92593020547,54804.0
2006-06-26,47427.22905345628,36552.658746931294,58596.3780386779,56345.0
2006-07-03,46554.2058711344,35897.11601582324,58236.073247355016,50905.0
2006-07-10,47479.063166797474,36944.169153358824,58477.141195352946,55044.0
2006-07-17,48276.495706461064,37087.94812873433,59025.42877692474,54310.0
2006-07-24,46145.13706425048,35351.56557213567,57470.294964182875,54163.0
