VJAVKW_DT,yhat,lower,upper
2023-01-02,16332.131873662329,3938.4816936391107,28725.782053685547
2023-01-09,26817.34250059475,12499.01283127965,41135.67216990985
2023-01-16,31529.76464939563,16530.196298796363,46529.3329999949
2023-01-23,30436.82565423424,15125.861022300665,45747.790286167816
2023-01-30,29132.847125868357,13642.603539913312,44623.0907118234
2023-02-06,31264.43014743912,15648.616142390307,46880.24415248794
2023-02-13,32299.44323811069,16582.145806449873,48016.740669771505
2023-02-20,32994.03143539589,17186.850678242532,48801.21219254925
2023-02-27,32184.017568539275,16292.848509439798,48075.18662763875
2023-03-06,32310.91987901837,16338.91033825281,48282.929419783926
2023-03-13,31990.28768267485,15939.219962509595,48041.355402840105
2023-03-20,31707.150564390442,15578.11523577701,47836.18589300387
2023-03-27,30717.909671601727,14511.642435596277,46924.17690760718
2023-04-03,28752.598174552022,12469.650619211523,45035.54572989252
2023-04-10,31965.017518719087,15605.84433854771,48324.19069889047
2023-04-17,27168.841517331028,10733.845261852864,43603.83777280919
2023-04-24,31347.61493529003,14837.169039544366,47858.06083103569
2023-05-01,30229.206075047598,13643.666749594908,46814.74540050029
2023-05-08,32082.732508484998,15422.444904847329,48743.02011212267
2023-05-15,29080.37916861606,12345.680599893501,45815.077737338615
2023-05-22,24756.8893333738,7948.110978590208,41565.667688157395
2023-05-29,29418.132745506533,12535.600572367752,46300.664918645314
2023-06-05,26992.07629621149,10036.111580279863,43948.04101214312
2023-06-12,26029.43648113629,9000.356115975483,43058.5168462971
2023-06-19,28113.07190073609,11011.188599197438,45214.95520227474
2023-06-26,28609.502585578935,11435.125023831828,45783.88014732604
2023-07-03,24919.723521041655,7673.156451953506,42166.29059012981
2023-07-10,25204.08297531966,7885.6273249238475,42522.538625715475
2023-07-17,25817.218434510884,8427.171388676245,43207.26548034552
2023-07-24,24446.440326889337,6985.095411893104,41907.78524188557
2023-07-31,20144.638104805163,2612.285263753158,37676.990945857164
2023-08-07,20408.720402382416,2805.646068513688,38011.79473625115
2023-08-14,22070.357720322805,4396.844887767631,39743.87055287798
2023-08-21,26306.84824709989,8563.176539417338,44050.519954782445
2023-08-28,26668.324316889142,8854.770053584132,44481.878580194156
2023-09-04,26693.20686874892,8810.043129902315,44576.37060759553
2023-09-11,27299.905652558406,9347.40234166812,45252.40896344869
2023-09-18,27516.241320234334,9494.66522534602,45537.81741512265
2023-09-25,26100.181622772638,8009.796475967261,44190.566769578014
2023-10-02,27609.41146087549,9450.477996174213,45768.34492557676
2023-10-09,29655.58215159716,11428.358161339405,47882.80614185491
2023-10-16,27555.942716693004,9260.68310644013,45851.20232694587
2023-10-23,24777.22306099967,6414.179903014046,43140.26621898529
2023-10-30,25921.392629660033,7490.815215006965,44351.9700443131
2023-11-06,29395.829689559698,10897.964578877625,47893.69480024177
2023-11-13,30345.100217108084,11780.19129009058,48910.009144125586
