VJAVKW_DT,VJAVKW,TTOKM
2005-01-03,200501,18675.0
2005-01-10,200502,41784.0
2005-01-17,200503,49577.0
2005-01-24,200504,48625.0
2005-01-31,200505,45873.0
2005-02-07,200506,46293.0
2005-02-14,200507,48279.0
2005-02-21,200508,47095.0
2005-02-28,200509,44690.0
2005-03-07,200510,46512.0
2005-03-14,200511,48871.0
2005-03-21,200512,52534.0
2005-03-28,200513,44838.0
2005-04-04,200514,58609.0
2005-04-11,200515,59129.0
2005-04-18,200516,61244.0
2005-04-25,200517,61028.0
2005-05-02,200518,50353.0
2005-05-09,200519,60421.0
2005-05-16,200520,50870.0
2005-05-23,200521,52497.0
2005-05-30,200522,53839.0
2005-06-06,200523,54735.0
2005-06-13,200524,54579.0
2005-06-20,200525,54628.0
2005-06-27,200526,54796.0
2005-07-04,200527,48401.0
2005-07-11,200528,53425.0
2005-07-18,200529,50921.0
2005-07-25,200530,49127.0
2005-08-01,200531,41921.0
2005-08-08,200532,34066.0
2005-08-15,200533,34024.0
2005-08-22,200534,44593.0
2005-08-29,200535,46087.0
2005-09-05,200536,50581.0
2005-09-12,200537,48532.0
2005-09-19,200538,49541.0
2005-09-26,200539,50100.0
2005-10-03,200540,47869.0
2005-10-10,200541,49595.0
2005-10-17,200542,48630.0
2005-10-24,200543,44300.0
2005-10-31,200544,40137.0
2005-11-07,200545,52129.0
2005-11-14,200546,49190.0
2005-11-21,200547,47353.0
2005-11-28,200548,42177.0
2005-12-05,200549,41401.0
2005-12-12,200550,43042.0
2005-12-19,200551,32466.0
2005-12-26,200552,10010.0
2006-01-02,200553,72.0
2006-01-02,200601,19757.0
2006-01-09,200602,35234.0
2006-01-16,200603,39592.0
2006-01-23,200604,41771.0
2006-01-30,200605,43223.0
2006-02-06,200606,44592.0
2006-02-13,200607,46968.0
2006-02-20,200608,51759.0
2006-02-27,200609,50892.0
2006-03-06,200610,49035.0
2006-03-13,200611,50615.0
2006-03-20,200612,56900.0
2006-03-27,200613,58442.0
2006-04-03,200614,55075.0
2006-04-10,200615,51540.0
2006-04-17,200616,50580.0
2006-04-24,200617,60384.0
2006-05-01,200618,50110.0
2006-05-08,200619,61567.0
2006-05-15,200620,61806.0
2006-05-22,200621,50675.0
2006-05-29,200622,60197.0
2006-06-05,200623,50399.0
2006-06-12,200624,51697.0
2006-06-19,200625,54804.0
2006-06-26,200626,56345.0
2006-07-03,200627,50905.0
2006-07-10,200628,55044.0
2006-07-17,200629,54310.0
2006-07-24,200630,54163.0
2006-07-31,200631,47725.0
2006-08-07,200632,40106.0
2006-08-14,200633,34715.0
2006-08-21,200634,51681.0
2006-08-28,200635,46685.0
2006-09-04,200636,50294.0
2006-09-11,200637,46588.0
2006-09-18,200638,48794.0
2006-09-25,200639,50162.0
2006-10-02,200640,47997.0
2006-10-09,200641,50492.0
2006-10-16,200642,47751.0
2006-10-23,200643,45461.0
2006-10-30,200644,41147.0
2006-11-06,200645,48938.0
2006-11-13,200646,50391.0
2006-11-20,200647,52420.0
2006-11-27,200648,55912.0
2006-12-04,200649,47963.0
2006-12-11,200650,52772.0
2006-12-18,200651,40289.0
2006-12-25,200652,10399.0
2007-01-01,200701,24727.0
2007-01-08,200702,47938.0
2007-01-15,200703,52044.0
2007-01-22,200704,50317.0
2007-01-29,200705,50681.0
2007-02-05,200706,55903.0
2007-02-12,200707,60279.0
2007-02-19,200708,62372.0
2007-02-26,200709,60942.0
2007-03-05,200710,58964.0
2007-03-12,200711,57253.0
2007-03-19,200712,57519.0
2007-03-26,200713,57696.0
2007-04-02,200714,51060.0
2007-04-09,200715,44992.0
2007-04-16,200716,56074.0
2007-04-23,200717,55920.0
2007-04-30,200718,43392.0
2007-05-07,200719,51911.0
2007-05-14,200720,48321.0
2007-05-21,200721,53835.0
2007-05-28,200722,45949.0
2007-06-04,200723,43144.0
2007-06-11,200724,51128.0
2007-06-18,200725,51776.0
2007-06-25,200726,55154.0
2007-07-02,200727,49873.0
